size,n_elem,ndof,path,vectors,KE,E_e,index,logical_B_per_elem,FLOP_per_elem,logical_intensity,us_median,us_min,us_max,spread_pct,iters_per_block,model_bandwidth_GBs,achieved_GFLOPs,speedup_vs_three_stage_fp64,pool_used_bytes,pool_total_bytes
64k,64000,209223,three_stage_fp64,fp64,fp64,fp64,int32,872,1176,1.348623853211009,368.83504958379837,323.5547383626302,377.9047648111979,14.735591563192669,105,151.30883050017883,204.05869801400266,1.0,20625408,67591168
64k,64000,209223,three_stage_fp64_e32,fp64,fp64,fp32,int32,868,1176,1.3548387096774193,372.53801981608075,334.78655497233075,400.10411580403644,17.533126112591805,150,149.1176659698401,202.0303861526866,0.9900601548424225,20625408,67591168
64k,64000,209223,three_stage_fp32,fp32,fp32,fp32,int32,484,1176,2.4297520661157024,132.57053034092354,130.34770934562374,149.0502706388148,14.10763104371297,246,233.65675554243398,567.7279845411206,2.782179784868385,21462528,67591168
64k,64000,209223,three_stage_fp32_s64,fp32,fp32,fp32,int64,580,1176,2.027586206896552,293.1452469086983,266.17509546414226,368.09193248480136,34.76666877440508,142,126.62664802326208,256.74644495751073,1.2581989763547967,21462528,67591168
64k,64000,209223,fused_fp64,fp64,fp64,fp64,int32,488,1176,2.4098360655737703,67.23374427014187,66.61842279704308,67.32744121343741,1.0545573864598825,459,464.52864315441616,1119.43787776556,5.485862100760555,23136768,67591168
64k,64000,209223,fused_fp32,fp32,fp32,fp32,int32,292,1176,4.027397260273973,33.37119963110947,29.14778546589177,66.02551995254144,110.50766797208968,820,560.0038418330811,2255.35793834145,11.052495974401863,23973888,67591168
64k,64000,209223,fused_ai_fp64,fp64,fp64,fp64,none,392,1176,3.0,65.39225267777394,64.94175404439615,65.82214863358979,1.3463285834972896,691,383.6540105694679,1150.9620317084039,5.640347816143686,23973888,67591168
64k,64000,209223,fused_ai_fp32,fp32,fp32,fp32,none,196,1176,6.0,45.95154246121752,35.88648879257439,67.48734978934486,68.76996789267993,837,272.9832194552983,1637.89931673179,8.02660868011319,23973888,67591168
64k,64000,209223,node_fp64,fp64,fp64,fp64,none,256,1176,4.59375,100.05727335184562,99.50440671263623,100.62305867171087,1.118011636336486,476,163.74621705297335,752.2091845870964,3.6862392630549827,23973888,67591168
64k,64000,209223,node_fp32,fp32,fp32,fp32,none,128,1176,9.1875,31.769688338178643,28.96174066077729,36.27696938229047,23.02581203707382,1085,257.8558502934829,2369.050624571374,11.609652750057279,23973888,67591168
