size,path,n_iters,rep,wall_s,compliance,mean_s,std_s,cv
216k,fp64,120,1,57.8516460000028,2.172196301726017,66.3922934200018,6.301092119621335,0.09490698084128878
216k,fp64,120,2,73.91238680000242,2.172190074222737,66.3922934200018,6.301092119621335,0.09490698084128878
216k,fp64,120,3,66.33008329999575,2.1721963264377804,66.3922934200018,6.301092119621335,0.09490698084128878
216k,fp64,120,4,70.72382890000154,2.1721900831983816,66.3922934200018,6.301092119621335,0.09490698084128878
216k,fp64,120,5,63.14352210000652,2.1721963286259074,66.3922934200018,6.301092119621335,0.09490698084128878
216k,fused,120,1,47.41176700000506,2.173865556716919,39.583883940002124,11.81759945600612,0.298545728203888
216k,fused,120,2,30.44071779999649,2.17384672164917,39.583883940002124,11.81759945600612,0.298545728203888
216k,fused,120,3,23.433807100002014,2.1738719940185547,39.583883940002124,11.81759945600612,0.298545728203888
216k,fused,120,4,48.76656770000409,2.1738736629486084,39.583883940002124,11.81759945600612,0.298545728203888
216k,fused,120,5,47.86656010000297,2.173849582672119,39.583883940002124,11.81759945600612,0.298545728203888
512k,fp64,120,1,122.32194819999859,1.825346458475791,111.45335811999976,9.340381769734789,0.08380529691782075
512k,fp64,120,2,121.02075270000205,1.825360829017214,111.45335811999976,9.340381769734789,0.08380529691782075
512k,fp64,120,3,104.86341410000023,1.8253608282322649,111.45335811999976,9.340381769734789,0.08380529691782075
512k,fp64,120,4,104.64403509999829,1.8253608282121918,111.45335811999976,9.340381769734789,0.08380529691782075
512k,fp64,120,5,104.41664049999963,1.8253720961760291,111.45335811999976,9.340381769734789,0.08380529691782075
512k,fused,120,1,25.81079039999895,1.8277214765548706,26.475727639999242,0.4820649983624954,0.01820780924012063
512k,fused,120,2,26.28927520000434,1.8277024030685425,26.475727639999242,0.4820649983624954,0.01820780924012063
512k,fused,120,3,26.51095239999995,1.8277196884155273,26.475727639999242,0.4820649983624954,0.01820780924012063
512k,fused,120,4,26.640564099994663,1.8276537656784058,26.475727639999242,0.4820649983624954,0.01820780924012063
512k,fused,120,5,27.1270560999983,1.8277076482772827,26.475727639999242,0.4820649983624954,0.01820780924012063
